eGRID2016 Plant file sequence number,Plant state abbreviation,Plant name,Plant latitude,Plant longitude,Plant primary fuel,Plant capacity factor,Plant nameplate capacity (MW),Plant annual net generation (MWh),Plant annual CO2 equivalent emissions (tons)
SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,CAPFAC,NAMEPCAP,PLNGENAN,PLCO2EQA
5271,MS,Hinds Energy Facility,32.378969,-90.219906,NG,0.6774,551.3,3271286,"1,343,688"
5272,MS,International Paper Vicksburg Mill,32.5292,-90.7742,BLQ,0.6074,50.5,268696,"18,963"
5273,MS,Kemper County,32.7976,-88.606,DFO,0.1455,372,474082,"338,037"
5274,MS,L L Wilkins,34.1845,-90.562662,NG,0.0005,55.2,231,244
5275,MS,Leaf River Cellulose LLC,31.2434,-89.0456,BLQ,0.9744,50.4,430201,"5,917"
5276,MS,Magnolia Facility,34.835,-89.2026,NG,0.652,"1,003.50",5731838,"2,619,228"
5277,MS,Meridian,32.55078,-88.60669,DFO,0.0006,9,43,51
5278,MS,Mississippi Baptist Medical Center,32.3133,-90.1797,NG,0,4.2,0,
5279,MS,Moselle Generating Plant,31.528,-89.3004,NG,0.3446,510.5,1541004,"799,589"
5280,MS,MPC1,,,NG,,360,,
5281,MS,Natchez,31.5987,-91.3464,NG,,66,,
5282,MS,New Albany Energy Facility,34.540833,-88.939722,NG,,427.2,,
5283,MS,Paulding,32.030155,-89.08555,DFO,0.0002,20,40,94
5284,MS,Prairie Bluff,33.954444,-88.9925,LFG,0.7297,1.6,10228,0
5285,MS,R D Morrow Senior Generating Plant,31.2186,-89.394,BIT,0.1118,400,391732,"493,307"
5286,MS,Red Hills Generation Facility,33.3761,-89.2183,RC,0.6444,513.7,2899797,"3,592,241"
5287,MS,Rex Brown,32.356954,-90.21297,NG,0.0907,349.2,277480,"254,051"
5288,MS,Silver Creek Generating Plant,31.6004,-89.9468,NG,0.0445,250.5,97682,"74,152"
5289,MS,Southaven Combined Cycle,34.9939,-90.0378,NG,0.6201,903.9,4909824,"2,064,490"
